sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite
0,4,83,30,14.784557200719913,19.647735907320293,14.784557200719913,913.0388549529016,20,,True
1,4,83,45,22.377465696136156,27.365379129533874,22.377465696136156,575.5258831195533,20,,True
2,4,83,60,12.798200908799966,16.42718907327695,12.798200908799966,578.7867992185056,20,,True
3,4,83,75,19.419250729121266,29.545746614447435,19.419250729121266,580.9268979355693,20,,True
4,4,83,90,24.072173118094604,39.97177335231967,24.072173118094604,579.3844521977007,20,,True
5,4,83,105,40.819403329491614,67.03757632052572,40.819403329491614,579.3434828519821,20,,True
6,4,83,120,6.694145617882411,8.709698121355347,6.694145617882411,579.5247042551637,20,,True
7,4,83,135,6.428620314598083,7.129997374232849,6.428620314598083,580.443533603102,20,,True
8,4,83,150,11.539965228239696,17.602384798353953,11.539965228239696,579.9783258698881,20,,True
9,4,83,165,7.302292025089264,9.489428154351067,7.302292025089264,571.9280657358468,20,,True
10,4,83,180,27.889437307293218,47.11446116610048,27.889437307293218,574.9495639465749,20,,True
11,4,83,195,12.961655840898553,15.780621800837112,12.961655840898553,571.494810283184,20,,True
12,4,83,210,12.066362803429366,20.749091032895056,12.066362803429366,575.0857656821609,20,,True
13,4,83,225,30.86711903139949,47.23098576043922,30.86711903139949,580.238301306963,20,,True
14,4,15,30,10.141412274787823,12.510979990238287,10.141412274787823,577.9747250489891,20,,True
15,4,15,45,3.0453009178241093,3.980565877492067,3.0453009178241093,571.4032649993896,20,,True
16,4,15,60,1.596680724620819,2.022749198090737,1.596680724620819,577.1470968611538,20,,True
17,4,15,75,1.4721070051193237,1.9577025812901057,1.4721070051193237,578.8592169992626,20,,True
18,4,15,90,1.494445252418518,2.064342308240213,1.494445252418518,571.8323960900307,20,,True
19,4,15,105,7.003783447295428,12.005100210304553,7.003783447295428,574.9775748699903,20,,True
20,4,15,120,8.593309448162715,12.942400228107578,8.593309448162715,580.1285188645124,20,,True
21,4,15,135,1.3253271023432414,2.027286921301881,1.3253271023432414,573.6010279506445,20,,True
22,4,15,150,1.289876969655355,1.7632623103959137,1.289876969655355,572.1943122334778,20,,True
23,4,15,165,7.034973814090093,13.247626302391163,7.034973814090093,579.088652972132,20,,True
24,4,15,180,13.513715283945203,23.431322261874808,13.513715283945203,580.2814741618931,20,,True
25,4,15,195,7.686554390564561,10.019945412746917,7.686554390564561,580.8488642796874,20,,True
26,4,15,210,23.342561588188012,43.22623416547238,23.342561588188012,577.4146593175828,20,,True
27,4,15,225,12.911479139328003,18.969369053611796,12.911479139328003,570.8275679498911,20,,True
28,4,3,30,13.162583281596502,18.924368754911423,13.162583281596502,575.6700527854264,20,,True
29,4,3,45,20.735180302212637,28.297811044087542,20.735180302212637,575.5764739587903,20,,True
30,4,3,60,8.463940275398393,9.636042012637592,8.463940275398393,571.3814003393054,20,,True
31,4,3,75,6.312340949910382,8.416980375819023,6.312340949910382,577.5978351011872,20,,True
32,4,3,90,2.43063381947577,3.6652171141379384,2.43063381947577,580.4550028406084,20,,True
33,4,3,105,4.599614312623938,7.110844813959515,4.599614312623938,587.4608154408634,20,,True
34,4,3,120,3.4493715055286884,5.667740633052295,3.4493715055286884,574.8758418485522,20,,True
35,4,3,135,11.786620179812113,15.007727320057851,11.786620179812113,571.9025461003184,20,,True
36,4,3,150,11.563984093566736,16.15597053891729,11.563984093566736,573.4311458654702,20,,True
37,4,3,165,13.913889209429422,18.311850729489418,13.913889209429422,571.6009982861578,20,,True
38,4,3,180,6.855020451545715,11.857516622749516,6.855020451545715,571.563390083611,20,,True
39,4,3,195,4.131172472238541,6.139702722886416,4.131172472238541,571.0932416841388,20,,True
40,4,3,210,1.6218800048033397,2.05891164305488,1.6218800048033397,570.5485818907619,20,,True
41,4,3,225,3.479258630673091,3.792872033189641,3.479258630673091,571.4432829990983,20,,True
42,4,35,30,8.26782376250873,10.397532559020046,8.26782376250873,570.9829437546432,20,,True
43,4,35,45,6.767798433204492,7.973453038634831,6.767798433204492,570.5588269047439,20,,True
44,4,35,60,3.6261706123749415,5.313566764419595,3.6261706123749415,568.6344988644123,20,,True
45,4,35,75,2.278529179096222,3.3511840425656594,2.278529179096222,561.7557489313185,20,,True
46,4,35,90,2.965697737534841,6.477026858485097,2.965697737534841,565.0135860778391,20,,True
