sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite
0,4,83,30,14.190996867418288,20.34574114583424,14.190996867418288,928.1227360479534,20,,True
1,4,83,45,20.80272679626942,26.29567795526505,20.80272679626942,569.0170712769032,20,,True
2,4,83,60,12.554294092953205,16.100064785427527,12.554294092953205,571.321371011436,20,,True
3,4,83,75,22.060600521601735,32.57103282154466,22.060600521601735,573.6907511018217,20,,True
4,4,83,90,27.625117106735708,45.1002066213011,27.625117106735708,572.2308922559023,20,,True
5,4,83,105,50.65936374564966,82.73084205921461,50.65936374564966,572.9121407493949,20,,True
6,4,83,120,16.51490059097608,21.57944641745643,16.51490059097608,571.1772320792079,20,,True
7,4,83,135,3.595662506421407,5.193851920798581,3.595662506421407,562.3748041689396,20,,True
8,4,83,150,11.367475140094758,16.521721450645817,11.367475140094758,566.1905333399773,20,,True
9,4,83,165,15.08650203148524,21.092587305617425,15.08650203148524,572.8090819902718,20,,True
10,4,83,180,28.79044782059888,47.09781287464181,28.79044782059888,573.067971970886,20,,True
11,4,83,195,9.337030094489455,11.797032030542798,9.337030094489455,573.217611759901,20,,True
12,4,83,210,11.293173572669426,17.359439975352352,11.293173572669426,572.6264328695834,20,,True
13,4,83,225,30.412857251614334,46.807982939525075,30.412857251614334,567.6267137750983,20,,True
14,4,15,30,15.70988327736656,19.308141170878084,15.70988327736656,563.939434941858,20,,True
15,4,15,45,6.902944633364678,7.958485688254504,6.902944633364678,569.7720129974186,20,,True
16,4,15,60,1.1323537151018779,1.764665861165499,1.1323537151018779,565.5552251264453,20,,True
17,4,15,75,1.0855639060338338,1.6972348126539794,1.0855639060338338,562.4208459630609,20,,True
18,4,15,90,1.0690242846806843,1.8011739989255837,1.0690242846806843,571.6894040815532,20,,True
19,4,15,105,6.717548114806414,12.054522503738838,6.717548114806414,572.9494038969278,20,,True
20,4,15,120,12.200132288535436,18.085530173254185,12.200132288535436,572.7599840611219,20,,True
21,4,15,135,1.66037122408549,2.0605813251841094,1.66037122408549,574.5643139816821,20,,True
22,4,15,150,0.9621866861979167,1.4086944589799515,0.9621866861979167,572.2893448546529,20,,True
