sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite
0,4,83,30,14.190996867418288,20.34574114583424,14.190996867418288,1181.414189748466,20,,True
1,4,83,45,20.80272679626942,26.29567795526505,20.80272679626942,670.0635920278728,20,,True
2,4,83,60,12.554294092953205,16.100064785427527,12.554294092953205,656.6665028221905,20,,True
3,4,83,75,22.060600521601735,32.57103282154466,22.060600521601735,658.6053078062832,20,,True
4,4,83,90,27.625117106735708,45.1002066213011,27.625117106735708,658.4705049172044,20,,True
5,4,83,105,50.65936374564966,82.73084205921461,50.65936374564966,658.7367849424481,20,,True
6,4,83,120,16.51490059097608,21.57944641745643,16.51490059097608,657.7173927798867,20,,True
7,4,83,135,3.595662506421407,5.193851920798581,3.595662506421407,666.2405342794955,20,,True
8,4,83,150,11.367475140094758,16.521721450645817,11.367475140094758,658.7354419752955,20,,True
9,4,83,165,15.08650203148524,21.092587305617425,15.08650203148524,664.854384958744,20,,True
10,4,83,180,28.79044782059888,47.09781287464181,28.79044782059888,658.6192641407251,20,,True
11,4,83,195,9.337030094489455,11.797032030542798,9.337030094489455,665.7981337048113,20,,True
12,4,83,210,11.293173572669426,17.359439975352352,11.293173572669426,661.8955871090293,20,,True
13,4,83,225,30.412857251614334,46.807982939525075,30.412857251614334,660.1396049372852,20,,True
14,4,15,30,15.70988327736656,19.308141170878084,15.70988327736656,660.557288210839,20,,True
15,4,15,45,6.902944633364678,7.958485688254504,6.902944633364678,659.4540602527559,20,,True
16,4,15,60,1.1323537151018779,1.764665861165499,1.1323537151018779,660.3177287615836,20,,True
17,4,15,75,1.0855639060338338,1.6972348126539794,1.0855639060338338,662.8522812388837,20,,True
18,4,15,90,1.0690242846806843,1.8011739989255837,1.0690242846806843,660.7593870721757,20,,True
19,4,15,105,6.717548114806414,12.054522503738838,6.717548114806414,663.9294307678938,20,,True
20,4,15,120,12.200132288535436,18.085530173254185,12.200132288535436,660.1458769291639,20,,True
21,4,15,135,1.66037122408549,2.0605813251841094,1.66037122408549,659.6047119237483,20,,True
22,4,15,150,0.9621866861979167,1.4086944589799515,0.9621866861979167,659.8634771071374,20,,True
23,4,15,165,6.846121066808701,13.23388889166351,6.846121066808701,663.4969501756132,20,,True
24,4,15,180,14.95628195889294,22.451299009938,14.95628195889294,660.4342879727483,20,,True
25,4,15,195,17.183978000904123,28.766913100014946,17.183978000904123,659.4348037615418,20,,True
26,4,15,210,21.35270247211059,36.340321951412164,21.35270247211059,660.1079660467803,20,,True
27,4,15,225,14.451998408635458,28.684241301706287,14.451998408635458,660.2768921293318,20,,True
28,4,3,30,12.767186615864436,18.58415644083582,12.767186615864436,660.8559880405664,20,,True
29,4,3,45,17.31112593387564,22.348823616455462,17.31112593387564,659.9780721589923,20,,True
30,4,3,60,8.577130719708899,9.158956142140493,8.577130719708899,659.608599729836,20,,True
31,4,3,75,6.230145163275301,8.412525767588669,6.230145163275301,658.9068030007184,20,,True
32,4,3,90,2.644953069711725,3.8367747876564637,2.644953069711725,660.0047517567873,20,,True
33,4,3,105,3.7713351861884195,5.421546629031074,3.7713351861884195,659.1018391773105,20,,True
