sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite
0,4,83,30,14.0482259730498,20.099330900950097,14.0482259730498,140.04757208749652,4,18,True
1,4,83,45,20.681671193242074,26.167551271212258,20.681671193242074,121.33336998522282,5,18,True
2,4,83,60,12.61316250115633,16.144434176117898,12.61316250115633,96.01931180804968,4,19,True
3,4,83,75,22.071769955195485,32.62132197266428,22.071769955195485,96.40921000391245,4,18,True
4,4,83,90,27.6844776108861,45.10108087777666,27.6844776108861,96.63855377584696,4,18,True
5,4,83,105,50.56690476636092,82.54993967596054,50.56690476636092,121.35619297623634,5,17,True
6,4,83,120,16.278488542636236,21.31993613655937,16.278488542636236,119.71587920561433,5,18,True
7,4,83,135,3.6222112735112506,5.213132389899045,3.6222112735112506,96.3212726637721,4,18,True
8,4,83,150,11.341565716266633,16.488527144196507,11.341565716266633,95.9496502764523,4,18,True
9,4,83,165,15.140747026602428,21.113526389259878,15.140747026602428,119.61767403408885,5,18,True
10,4,83,180,28.725021947796147,47.02477227620674,28.725021947796147,95.96403781324625,4,19,True
11,4,83,195,9.17086188159883,11.656996744059727,9.17086188159883,96.98747377842665,4,18,True
12,4,83,210,11.32707097257177,17.47398752858856,11.32707097257177,120.76974287629128,5,18,True
13,4,83,225,30.431007581204177,46.845970421085795,30.431007581204177,96.32653323933482,4,18,True
14,4,15,30,15.70677048439781,19.3103641677168,15.70677048439781,96.93736908957362,4,18,True
15,4,15,45,6.760397025942803,7.887095409895044,6.760397025942803,120.09968515485525,5,18,True
16,4,15,60,1.2576170563697815,2.0168746949383607,1.2576170563697815,95.5016128718853,4,19,True
17,4,15,75,1.2124785741170248,1.9319642759724043,1.2124785741170248,95.60453798621893,4,19,True
18,4,15,90,1.1859577894210815,2.0392981128403047,1.1859577894210815,95.47969093546271,4,19,True
19,4,15,105,6.717718894034624,12.126829437003323,6.717718894034624,95.22511996328831,4,19,True
20,4,15,120,12.134677805503209,17.916849606727197,12.134677805503209,96.487607806921,4,18,True
21,4,15,135,1.7256769339243572,2.112797690053584,1.7256769339243572,96.18113795295358,4,18,True
22,4,15,150,0.9357403675715129,1.3804059391385537,0.9357403675715129,95.96362709999084,4,19,True
23,4,15,165,6.751820955673853,13.084648163322628,6.751820955673853,95.56949092075229,4,19,True
24,4,15,180,14.969385444000363,22.47335958209922,14.969385444000363,96.62827383726835,4,18,True
25,4,15,195,17.21754614673555,28.77213395873123,17.21754614673555,120.23963080719113,5,18,True
26,4,15,210,21.41261229266723,36.53667551503853,21.41261229266723,119.96845714747906,5,18,True
27,4,15,225,14.592672610282898,28.66117361605605,14.592672610282898,119.5211810991168,5,18,True
28,4,3,30,12.713516781727472,18.62516911476572,12.713516781727472,95.53230088204145,4,19,True
29,4,3,45,17.199783503760894,22.204825851831405,17.199783503760894,119.4476317614317,5,18,True
30,4,3,60,8.609174176740149,9.212499766993549,8.609174176740149,96.48469183593988,4,18,True
31,4,3,75,6.264898009039461,8.552738571752416,6.264898009039461,95.45764978975058,4,19,True
32,4,3,90,2.7147425429274636,4.034162977248466,2.7147425429274636,95.68472905084491,4,19,True
33,4,3,105,3.819446148102482,5.450931824043709,3.819446148102482,96.22511174529791,4,18,True
34,4,3,120,5.300460454573234,7.207495263984578,5.300460454573234,96.69020166620612,4,18,True
35,4,3,135,12.939726869265238,15.366825559911433,12.939726869265238,96.2808271870017,4,18,True
36,4,3,150,11.748536302149295,16.488293728933705,11.748536302149295,95.38409113883972,4,19,True
37,4,3,165,10.69873378276825,13.442312592915757,10.69873378276825,96.19983332231641,4,18,True
38,4,3,180,6.8092348655064905,11.41316600228698,6.8092348655064905,95.62523709610105,4,19,True
39,4,3,195,8.168547409772874,11.219583444039701,8.168547409772874,96.2954550050199,4,18,True
40,4,3,210,1.6795291443665823,2.018402324931865,1.6795291443665823,96.31123393774033,4,18,True
41,4,3,225,3.238403222958247,3.559851255084873,3.238403222958247,95.74841894209385,4,19,True
42,4,35,30,9.101757529191673,11.057255778820517,9.101757529191673,95.75065365061164,4,19,True
43,4,35,45,3.419301145772139,4.425618968431784,3.419301145772139,96.16087004542351,4,18,True
44,4,35,60,4.251474341750145,5.2113706200688075,4.251474341750145,96.68850805610418,4,18,True
45,4,35,75,4.114524980386098,5.593393707322533,4.114524980386098,96.32949810475111,4,18,True
46,4,35,90,2.8620155692100524,6.429980348648081,2.8620155692100524,95.71352414786816,4,19,True
47,4,35,105,6.169619143505892,8.459513101005312,6.169619143505892,95.46730807051063,4,19,True
48,4,35,120,10.441156598428885,12.650503337476549,10.441156598428885,100.5023131147027,4,18,True
49,4,35,135,3.0196185750265916,4.54379673551354,3.0196185750265916,94.76158302277327,4,19,True
