config,threshold,gamma,num_samples,mae,corrected_rmse,test_loss,latency_median_ms,target_forward_avg,accepted_per_iteration_avg,peak_allocated_mib,peak_reserved_mib,metric_valid
baseline_selector=adaptive_k:2.41:4.44,,,50,10.57441734717538,22.315690645266603,,456.320044118911,20.0,,12996.19677734375,13086.0,True
threshold=0.35_gamma=8_selector=adaptive_k:2.41:4.44,0.35,8,50,10.583967821838955,22.31505355162846,,96.95151587948203,4.08,6.084415584415584,12999.78564453125,13086.0,True
