sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite
0,4,83,30,14.190996867418288,20.34574114583424,14.190996867418288,915.4826523736119,20,,True
1,4,83,45,20.80272679626942,26.29567795526505,20.80272679626942,566.0729501396418,20,,True
2,4,83,60,12.554294092953205,16.100064785427527,12.554294092953205,569.9426904320717,20,,True
3,4,83,75,22.060600521601735,32.57103282154466,22.060600521601735,568.9254803583026,20,,True
4,4,83,90,27.625117106735708,45.1002066213011,27.625117106735708,567.6845498383045,20,,True
5,4,83,105,50.65936374564966,82.73084205921461,50.65936374564966,567.5788302905858,20,,True
6,4,83,120,16.51490059097608,21.57944641745643,16.51490059097608,568.1373099796474,20,,True
7,4,83,135,3.595662506421407,5.193851920798581,3.595662506421407,568.5839601792395,20,,True
8,4,83,150,11.367475140094758,16.521721450645817,11.367475140094758,567.5460300408304,20,,True
9,4,83,165,15.08650203148524,21.092587305617425,15.08650203148524,567.1151112765074,20,,True
10,4,83,180,28.79044782059888,47.09781287464181,28.79044782059888,567.4944799393415,20,,True
11,4,83,195,9.337030094489455,11.797032030542798,9.337030094489455,568.7112999148667,20,,True
12,4,83,210,11.293173572669426,17.359439975352352,11.293173572669426,571.7698796652257,20,,True
13,4,83,225,30.412857251614334,46.807982939525075,30.412857251614334,568.3257998898625,20,,True
14,4,15,30,15.70988327736656,19.308141170878084,15.70988327736656,567.1109398826957,20,,True
15,4,15,45,6.902944633364678,7.958485688254504,6.902944633364678,567.5945496186614,20,,True
16,4,15,60,1.1323537151018779,1.764665861165499,1.1323537151018779,568.4797898866236,20,,True
17,4,15,75,1.0855639060338338,1.6972348126539794,1.0855639060338338,568.7654810026288,20,,True
18,4,15,90,1.0690242846806843,1.8011739989255837,1.0690242846806843,568.562279921025,20,,True
19,4,15,105,6.717548114806414,12.054522503738838,6.717548114806414,568.4685697779059,20,,True
20,4,15,120,12.200132288535436,18.085530173254185,12.200132288535436,568.8601811416447,20,,True
21,4,15,135,1.66037122408549,2.0605813251841094,1.66037122408549,568.7108500860631,20,,True
22,4,15,150,0.9621866861979167,1.4086944589799515,0.9621866861979167,568.6142612248659,20,,True
23,4,15,165,6.846121066808701,13.23388889166351,6.846121066808701,563.5206601582468,20,,True
24,4,15,180,14.95628195889294,22.451299009938,14.95628195889294,559.5989599823952,20,,True
25,4,15,195,17.183978000904123,28.766913100014946,17.183978000904123,566.5950812399387,20,,True
26,4,15,210,21.35270247211059,36.340321951412164,21.35270247211059,568.9368401654065,20,,True
27,4,15,225,14.451998408635458,28.684241301706287,14.451998408635458,568.5045006684959,20,,True
28,4,3,30,12.767186615864436,18.58415644083582,12.767186615864436,566.9984798878431,20,,True
29,4,3,45,17.31112593387564,22.348823616455462,17.31112593387564,569.2554707638919,20,,True
30,4,3,60,8.577130719708899,9.158956142140493,8.577130719708899,567.7689108997583,20,,True
31,4,3,75,6.230145163275301,8.412525767588669,6.230145163275301,568.800640758127,20,,True
32,4,3,90,2.644953069711725,3.8367747876564637,2.644953069711725,569.9223801493645,20,,True
33,4,3,105,3.7713351861884195,5.421546629031074,3.7713351861884195,569.0575111657381,20,,True
34,4,3,120,5.392731925596793,7.3797972722238665,5.392731925596793,568.0345511063933,20,,True
35,4,3,135,13.035216371218363,15.449230708635474,13.035216371218363,560.2671001106501,20,,True
36,4,3,150,11.763917161524295,16.481495483600188,11.763917161524295,560.1229998283088,20,,True
37,4,3,165,10.753768420219421,13.488727863894484,10.753768420219421,567.8312010131776,20,,True
38,4,3,180,6.7559511741002405,11.301789114876808,6.7559511741002405,563.6153109371662,20,,True
39,4,3,195,8.117094773054124,11.142381578392396,8.117094773054124,559.726329986006,20,,True
40,4,3,210,1.723472930987676,2.0144878520641214,1.723472930987676,565.6819702126086,20,,True
41,4,3,225,3.2277896543343862,3.53627256662935,3.2277896543343862,566.3797510787845,20,,True
42,4,35,30,9.250109325659771,11.259585426626893,9.250109325659771,560.0620312616229,20,,True
43,4,35,45,3.4118208741148313,4.453596051840786,3.4118208741148313,564.8729610256851,20,,True
44,4,35,60,4.148810443282128,5.082680245183611,4.148810443282128,569.1840322688222,20,,True
45,4,35,75,4.065841146310171,5.530592679181805,4.065841146310171,568.3524208143353,20,,True
46,4,35,90,2.7183608253796896,6.096081660695483,2.7183608253796896,568.5993898659945,20,,True
47,4,35,105,6.167467654248079,8.424451765562816,6.167467654248079,565.2170400135219,20,,True
48,4,35,120,10.48684141288201,12.769087296354153,10.48684141288201,560.2613701485097,20,,True
49,4,35,135,2.9950953128437203,4.509521425163278,2.9950953128437203,567.037520930171,20,,True
