config,threshold,gamma,num_samples,mae,corrected_rmse,test_loss,latency_median_ms,target_forward_avg,accepted_per_iteration_avg,peak_allocated_mib,peak_reserved_mib,metric_valid
baseline,,,50,11.036768085417648,22.132159381010695,,567.9328760597855,20.0,,12996.11669921875,13086.0,True
threshold=0.05_gamma=2,0.05,2,50,11.04880889934053,22.15204327174571,,330.50536760129035,11.02,1.7045908183632734,13004.08349609375,13086.0,True
threshold=0.05_gamma=4,0.05,4,50,11.035968829013408,22.128736323794605,,211.76437847316265,7.02,2.8272425249169437,13000.5966796875,13086.0,True
threshold=0.05_gamma=8,0.05,8,50,11.029979868628084,22.13548018920708,,153.501856373623,5.2,3.980952380952381,13006.931640625,13086.0,True
threshold=0.1_gamma=2,0.1,2,50,11.053827905433874,22.149703492681,,330.1490831654519,11.02,1.8203592814371257,13005.0830078125,13086.0,True
threshold=0.1_gamma=4,0.1,4,50,11.030420753337443,22.11279825931729,,208.79158354364336,6.76,3.0694444444444446,13000.5966796875,13086.0,True
threshold=0.1_gamma=8,0.1,8,50,11.033758607404927,22.13135273811451,,152.35108230262995,4.76,4.659574468085107,13008.91650390625,13086.0,True
threshold=0.2_gamma=2,0.2,2,50,11.057322760201991,22.138623377268228,,329.25377413630486,11.0,1.86,13005.0830078125,13086.0,True
threshold=0.2_gamma=4,0.2,4,50,11.033807341831427,22.123452015552186,,181.42526783049107,6.38,3.412639405204461,13000.5966796875,13086.0,True
threshold=0.2_gamma=8,0.2,8,50,11.030361754395068,22.131619355534273,,122.42511101067066,4.38,5.289940828402367,13006.931640625,13086.0,True
threshold=0.35_gamma=2,0.35,2,50,11.064750095941127,22.179042917235968,,328.6089098546654,11.0,1.88,13005.0830078125,13086.0,True
threshold=0.35_gamma=4,0.35,4,50,11.03527358025064,22.125548709799993,,180.5947630200535,6.2,3.576923076923077,13000.5966796875,13086.0,True
threshold=0.35_gamma=8,0.35,8,50,11.031369208392997,22.109701547003056,,122.23817058838904,4.2,5.73125,13002.4306640625,13086.0,True
threshold=0.7_gamma=2,0.7,2,50,11.046450475153824,22.16463450479696,,329.0133746340871,11.0,1.896,13005.0830078125,13086.0,True
threshold=0.7_gamma=4,0.7,4,50,11.031117097554107,22.142262045113164,,180.4324183613062,6.04,3.734126984126984,13000.5966796875,13086.0,True
threshold=0.7_gamma=8,0.7,8,50,11.041027358469863,22.141835214738094,,121.64312088862062,4.04,6.118421052631579,13002.4306640625,13086.0,True
