sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite,selected_k
0,4,83,30,14.784557200719913,19.647735907320293,14.784557200719913,765.3271229937673,20,,True,2
1,4,83,45,20.80272679626942,26.29567795526505,20.80272679626942,460.5614678002894,20,,True,10
2,4,83,60,12.798200908799966,16.42718907327695,12.798200908799966,461.2548495642841,20,,True,2
3,4,83,75,19.419250729121266,29.545746614447435,19.419250729121266,462.0545916259289,20,,True,2
4,4,83,90,24.072173118094604,39.97177335231967,24.072173118094604,458.8572350330651,20,,True,2
5,4,83,105,53.51648858288924,87.85994579605375,53.51648858288924,459.14260391145945,20,,True,4
6,4,83,120,11.085034881035487,13.69175446940382,11.085034881035487,459.2342982068658,20,,True,4
7,4,83,135,6.428620314598083,7.129997374232849,6.428620314598083,458.81624706089497,20,,True,2
8,4,83,150,11.539965228239696,17.602384798353953,11.539965228239696,463.42459321022034,20,,True,2
9,4,83,165,7.458981668949127,9.480920728330862,7.458981668949127,459.07627884298563,20,,True,4
10,4,83,180,27.889437307293218,47.11446116610048,27.889437307293218,459.6648523584008,20,,True,2
11,4,83,195,13.084705545132358,16.00621204457483,13.084705545132358,460.69420874118805,20,,True,4
12,4,83,210,11.655850228915613,19.22367824677352,11.655850228915613,462.0416169054806,20,,True,4
13,4,83,225,30.86711903139949,47.23098576043922,30.86711903139949,458.81808968260884,20,,True,2
14,4,15,30,10.141412274787823,12.510979990238287,10.141412274787823,462.90909918025136,20,,True,2
15,4,15,45,3.0453009178241093,3.980565877492067,3.0453009178241093,460.0830739364028,20,,True,2
16,4,15,60,1.596680724620819,2.022749198090737,1.596680724620819,460.0995136424899,20,,True,2
17,4,15,75,1.4721070051193237,1.9577025812901057,1.4721070051193237,462.8993412479758,20,,True,2
18,4,15,90,1.494445252418518,2.064342308240213,1.494445252418518,463.37309619411826,20,,True,2
19,4,15,105,7.003783447295428,12.005100210304553,7.003783447295428,459.4963537529111,20,,True,2
20,4,15,120,9.863243142763773,14.52294119883555,9.863243142763773,460.20331187173724,20,,True,4
21,4,15,135,1.3253271023432414,2.027286921301881,1.3253271023432414,458.54537608101964,20,,True,2
22,4,15,150,1.289876969655355,1.7632623103959137,1.289876969655355,460.9708930365741,20,,True,2
23,4,15,165,7.034973814090093,13.247626302391163,7.034973814090093,457.7946159988642,20,,True,2
24,4,15,180,13.513715283945203,23.431322261874808,13.513715283945203,457.15243089944124,20,,True,2
25,4,15,195,17.183978000904123,28.766913100014946,17.183978000904123,460.6226347386837,20,,True,10
26,4,15,210,23.342561588188012,43.22623416547238,23.342561588188012,457.75761594995856,20,,True,2
27,4,15,225,14.451998408635458,28.684241301706287,14.451998408635458,460.400755982846,20,,True,10
28,4,3,30,13.162583281596502,18.924368754911423,13.162583281596502,459.13237566128373,20,,True,2
29,4,3,45,20.781458397457996,28.834611581520914,20.781458397457996,460.010948125273,20,,True,4
30,4,3,60,8.463940275398393,9.636042012637592,8.463940275398393,460.0375280715525,20,,True,2
31,4,3,75,6.312340949910382,8.416980375819023,6.312340949910382,459.6648532897234,20,,True,2
32,4,3,90,2.43063381947577,3.6652171141379384,2.43063381947577,459.6361489966512,20,,True,2
33,4,3,105,4.599614312623938,7.110844813959515,4.599614312623938,460.65555699169636,20,,True,2
34,4,3,120,3.4493715055286884,5.667740633052295,3.4493715055286884,459.7951299510896,20,,True,2
35,4,3,135,11.786620179812113,15.007727320057851,11.786620179812113,460.04212694242597,20,,True,2
36,4,3,150,11.563984093566736,16.15597053891729,11.563984093566736,464.3510468304157,20,,True,2
37,4,3,165,14.038658420244852,18.564065408023975,14.038658420244852,459.28643830120564,20,,True,4
38,4,3,180,6.855020451545715,11.857516622749516,6.855020451545715,461.81894885376096,20,,True,2
39,4,3,195,4.131172472238541,6.139702722886416,4.131172472238541,471.73398081213236,20,,True,2
40,4,3,210,1.6218800048033397,2.05891164305488,1.6218800048033397,472.3110729828477,20,,True,2
41,4,3,225,3.479258630673091,3.792872033189641,3.479258630673091,510.8840512111783,20,,True,2
42,4,35,30,8.26782376250873,10.397532559020046,8.26782376250873,544.6853619068861,20,,True,2
43,4,35,45,6.767798433204492,7.973453038634831,6.767798433204492,618.4251047670841,20,,True,2
44,4,35,60,3.6261706123749415,5.313566764419595,3.6261706123749415,537.5460991635919,20,,True,2
45,4,35,75,2.278529179096222,3.3511840425656594,2.278529179096222,463.25929183512926,20,,True,2
46,4,35,90,2.965697737534841,6.477026858485097,2.965697737534841,467.93186105787754,20,,True,2
47,4,35,105,5.733817192415397,7.70589359086776,5.733817192415397,460.82759415730834,20,,True,2
48,4,35,120,4.894895605742931,6.288831112044855,4.894895605742931,468.0624180473387,20,,True,2
49,4,35,135,3.347082566966613,5.328372068301357,3.347082566966613,464.0917172655463,20,,True,2
50,4,35,150,4.029999728500843,5.604871858108436,4.029999728500843,468.3208470232785,20,,True,2
51,4,35,165,11.19325476884842,16.526406998067518,11.19325476884842,466.56773006543517,20,,True,2
52,4,35,180,22.76013325850169,37.83537908306305,22.76013325850169,493.1109850294888,20,,True,2
53,4,35,195,5.607325073083242,7.134344898341595,5.607325073083242,515.9582779742777,20,,True,4
54,4,35,210,2.5692719221115112,3.3225827736023024,2.5692719221115112,512.6956179738045,20,,True,2
55,4,35,225,4.499152034521103,7.700672171460243,4.499152034521103,504.3594096787274,20,,True,2
56,4,48,30,4.979468242009171,7.915945716723097,4.979468242009171,489.16455125436187,20,,True,2
57,4,48,45,14.759902271380026,22.115585029438904,14.759902271380026,458.0449922941625,20,,True,2
58,4,48,60,13.272444322953621,20.413229704901116,13.272444322953621,457.7854499220848,20,,True,2
59,4,48,75,5.344608750986906,8.439093671156938,5.344608750986906,458.21850886568427,20,,True,2
60,4,48,90,4.874050369858741,6.320436780580696,4.874050369858741,458.31428095698357,20,,True,2
61,4,48,105,7.816451948384444,11.777699835934417,7.816451948384444,460.1754108443856,20,,True,2
62,4,48,120,27.75264593263467,41.88817366043495,27.75264593263467,459.35846492648125,20,,True,2
63,4,48,135,24.289819600681465,34.689449166765684,24.289819600681465,457.52245280891657,20,,True,4
64,4,48,150,12.049367473522823,15.681412414691938,12.049367473522823,459.2814799398184,20,,True,2
65,4,48,165,7.5846404751141865,8.66343664880416,7.5846404751141865,459.75834177806973,20,,True,4
66,4,48,180,10.024746435321868,17.28040799707195,10.024746435321868,458.9206678792834,20,,True,2
67,4,48,195,12.490348094701767,19.74779099722602,12.490348094701767,457.5226530432701,20,,True,2
68,4,48,210,12.94998532831669,19.67567857872574,12.94998532831669,457.3077978566289,20,,True,2
69,4,48,225,16.178003714233636,21.656564225831644,16.178003714233636,456.88870502635837,20,,True,2
70,4,22,30,3.3706820785999296,4.36717567810142,3.3706820785999296,457.82360434532166,20,,True,2
71,4,22,45,4.953780463586251,5.26826632979087,4.953780463586251,458.4661591798067,20,,True,2
72,4,22,60,2.003921719888846,3.5827050170344057,2.003921719888846,456.6257270053029,20,,True,2
73,4,22,75,2.377376977602641,3.1074530553729343,2.377376977602641,457.3098123073578,20,,True,2
74,4,22,90,3.7956242581208546,8.595146741449765,3.7956242581208546,458.12588511034846,20,,True,2
75,4,22,105,3.5458114246527352,6.5723891036992015,3.5458114246527352,457.7641813084483,20,,True,2
76,4,22,120,2.0916283423701922,2.5668050216682725,2.0916283423701922,459.03590600937605,20,,True,2
77,4,22,135,1.8550328294436136,2.5239183447109514,1.8550328294436136,477.7948069386184,20,,True,2
78,4,22,150,1.471504160016775,2.0248393176639565,1.471504160016775,468.53305911645293,20,,True,2
79,4,22,165,10.44894213800629,17.383293175849175,10.44894213800629,462.2635319828987,20,,True,2
80,4,22,180,16.651014683643975,30.167398934816617,16.651014683643975,474.7721101157367,20,,True,2
81,4,22,195,3.913576166828473,4.496371223025058,3.913576166828473,471.75760893151164,20,,True,2
82,4,22,210,5.8834248433510465,6.920517175427913,5.8834248433510465,459.4866787083447,20,,True,2
83,4,22,225,5.172076398157515,10.16783620153462,5.172076398157515,459.83036886900663,20,,True,2
84,4,55,30,10.210506268093983,13.44145998677974,10.210506268093983,460.2189240977168,20,,True,2
85,4,55,45,8.409440596650045,10.1208186984649,8.409440596650045,459.6546068787575,20,,True,2
86,4,55,60,6.741033495714267,11.285974700921141,6.741033495714267,476.14820301532745,20,,True,2
87,4,55,75,11.829258502523105,21.51170919042236,11.829258502523105,503.3806818537414,20,,True,4
88,4,55,90,7.019154248634974,10.280425905044638,7.019154248634974,505.789858289063,20,,True,4
89,4,55,105,3.6343360980351767,6.111198671227596,3.6343360980351767,513.7009518221021,20,,True,2
90,4,55,120,2.3952939917643863,3.753991280705997,2.3952939917643863,511.84276724234223,20,,True,2
91,4,55,135,7.027976908387306,8.422559844878752,7.027976908387306,510.5126411654055,20,,True,2
92,4,55,150,15.157198228935401,25.377740948124945,15.157198228935401,511.9840339757502,20,,True,2
93,4,55,165,35.09226666291555,50.41315025098595,35.09226666291555,510.7035432010889,20,,True,10
94,4,55,180,28.206973322232564,39.658551379740366,28.206973322232564,510.4417968541384,20,,True,10
95,4,55,195,57.80478773638606,84.48379262995142,57.80478773638606,509.70521476119757,20,,True,10
96,4,55,210,41.08422762453556,70.05407098915019,41.08422762453556,509.44205606356263,20,,True,4
97,4,55,225,32.85092895328999,54.46323114940542,32.85092895328999,518.5937159694731,20,,True,10
98,4,4,30,19.391175862510377,39.074414134258255,19.391175862510377,505.6771547533572,20,,True,2
99,4,4,45,52.29147548625867,83.12448092972045,52.29147548625867,506.72178203240037,20,,True,4
100,4,4,60,9.97758255538841,14.81820424277448,9.97758255538841,504.6297060325742,20,,True,2
101,4,4,75,10.454816712035488,15.622249795324256,10.454816712035488,477.5313111022115,20,,True,2
102,4,4,90,9.131290464258443,14.435211307573557,9.131290464258443,494.9969449080527,20,,True,2
103,4,4,105,9.171741141875584,12.49436293809622,9.171741141875584,460.8448497019708,20,,True,2
104,4,4,120,7.82029037984709,12.764437366677711,7.82029037984709,460.47997986897826,20,,True,2
105,4,4,135,8.92842594558994,14.319673261636572,8.92842594558994,464.3176980316639,20,,True,2
106,4,4,150,12.965617304792007,23.130218663883618,12.965617304792007,464.85978411510587,20,,True,2
107,4,4,165,10.150418450435003,14.4133221439193,10.150418450435003,460.2762144058943,20,,True,4
108,4,4,180,11.192354094982147,20.40047788296701,11.192354094982147,463.8027143664658,20,,True,2
109,4,4,195,37.67447407444318,68.8232590139613,37.67447407444318,465.6922477297485,20,,True,2
110,4,4,210,21.669798950726786,43.67149550788073,21.669798950726786,460.58366587385535,20,,True,4
111,4,4,225,49.43766180773576,81.44592498429931,49.43766180773576,461.8740971200168,20,,True,10
