sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite
0,4,83,30,13.595314596096674,19.596091463707115,13.595314596096674,120.11631717905402,4,19,True
1,4,83,45,20.54714362124602,26.632084115292297,20.54714362124602,120.51041703671217,4,19,True
2,4,83,60,12.61316250115633,16.144434176117898,12.61316250115633,121.52442568913102,4,19,True
3,4,83,75,22.03560662511736,32.68081597165344,22.03560662511736,121.79158627986908,4,19,True
4,4,83,90,27.856404172877472,45.38421576963312,27.856404172877472,121.59890588372946,4,19,True
5,4,83,105,50.0512560993433,80.95646602899609,50.0512560993433,152.3514180444181,5,18,True
6,4,83,120,16.60656089981397,21.98964248867738,16.60656089981397,121.4710958302021,4,19,True
7,4,83,135,3.6242610692977903,5.299800654063791,3.6242610692977903,129.76260716095567,4,19,True
8,4,83,150,11.304124287764232,16.390953291912254,11.304124287764232,139.43705800920725,4,19,True
9,4,83,165,16.174976797898612,22.544194481824327,16.174976797898612,138.04839691147208,4,19,True
10,4,83,180,28.725021947796147,47.02477227620674,28.725021947796147,121.90539576113224,4,19,True
11,4,83,195,9.12329336963594,11.749453139299591,9.12329336963594,137.7326869405806,4,19,True
12,4,83,210,11.530455371985832,17.903162494271115,11.530455371985832,139.52498696744442,4,19,True
13,4,83,225,30.449913220852615,46.97830888206313,30.449913220852615,131.24155579134822,4,19,True
14,4,15,30,15.925673072288435,19.536529933137086,15.925673072288435,128.8053272292018,4,19,True
15,4,15,45,7.035939221580823,8.240519680632907,7.035939221580823,139.1787170432508,4,19,True
16,4,15,60,1.2576170563697815,2.0168746949383607,1.2576170563697815,135.266887024045,4,19,True
17,4,15,75,1.2124785741170248,1.9319642759724043,1.2124785741170248,121.50662578642368,4,19,True
18,4,15,90,1.1859577894210815,2.0392981128403047,1.1859577894210815,121.45413598045707,4,19,True
19,4,15,105,6.717718894034624,12.126829437003323,6.717718894034624,121.67541682720184,4,19,True
20,4,15,120,12.37681476076444,18.137631731937102,12.37681476076444,121.66619626805186,4,19,True
21,4,15,135,1.816794792811076,2.1830290532045726,1.816794792811076,121.61594582721591,4,19,True
22,4,15,150,0.9357403675715129,1.3804059391385537,0.9357403675715129,121.37615727260709,4,19,True
23,4,15,165,6.751820955673853,13.084648163322628,6.751820955673853,121.2433259934187,4,19,True
24,4,15,180,15.035440741851925,22.66593453944751,15.035440741851925,127.69496720284224,4,19,True
25,4,15,195,17.897996522610388,29.63938733651451,17.897996522610388,122.17803578823805,4,18,True
26,4,15,210,21.36288199176391,36.591993405045734,21.36288199176391,121.4678562246263,4,19,True
27,4,15,225,14.93007911046346,28.730604477393406,14.93007911046346,121.50181597098708,4,19,True
28,4,3,30,12.713516781727472,18.62516911476572,12.713516781727472,121.570176910609,4,19,True
29,4,3,45,16.988210856666168,21.761254909530564,16.988210856666168,121.33816629648209,4,19,True
30,4,3,60,8.603497907208899,9.229588145654168,8.603497907208899,121.53294589370489,4,19,True
31,4,3,75,6.264898009039461,8.552738571752416,6.264898009039461,121.62771727889776,4,19,True
32,4,3,90,2.7147425429274636,4.034162977248466,2.7147425429274636,121.69131636619568,4,19,True
33,4,3,105,3.894964154188832,5.522649392834955,3.894964154188832,121.5091161429882,4,19,True
34,4,3,120,5.235572454084953,7.069760349523556,5.235572454084953,125.10461686179042,4,19,True
35,4,3,135,12.892325441042582,15.359374510799599,12.892325441042582,123.73189581558108,4,19,True
36,4,3,150,11.748536302149295,16.488293728933705,11.748536302149295,121.84958579018712,4,19,True
37,4,3,165,10.635138964653015,13.351594158762836,10.635138964653015,121.87404604628682,4,19,True
38,4,3,180,6.8092348655064905,11.41316600228698,6.8092348655064905,119.8586062528193,4,19,True
39,4,3,195,8.224440354108811,11.349283726310277,8.224440354108811,119.58721606060863,4,19,True
40,4,3,210,1.7362350006898244,2.09058452599286,1.7362350006898244,119.89133711904287,4,19,True
41,4,3,225,3.238403222958247,3.559851255084873,3.238403222958247,119.58211567252874,4,19,True
42,4,35,30,9.101757529191673,11.057255778820517,9.101757529191673,119.85975597053766,4,19,True
43,4,35,45,3.4137136951088904,4.423383204243171,3.4137136951088904,119.67518599703908,4,19,True
44,4,35,60,4.3534549325704575,5.318838027097016,4.3534549325704575,119.8728159070015,4,19,True
45,4,35,75,4.215129991372426,5.753136729220056,4.215129991372426,125.52973721176386,4,19,True
46,4,35,90,2.8620155692100524,6.429980348648081,2.8620155692100524,120.59048609808087,4,19,True
47,4,35,105,6.169619143505892,8.459513101005312,6.169619143505892,121.59405602142215,4,19,True
48,4,35,120,10.635843488077322,12.889773652265868,10.635843488077322,121.41987588256598,4,19,True
49,4,35,135,3.0196185750265916,4.54379673551354,3.0196185750265916,121.7726357281208,4,19,True
