video,user,mae,rmse
18,23,25.428054809570312,37.9195671081543
18,60,14.333237648010254,29.574176788330078
24,84,23.591163635253906,56.076019287109375
25,4,33.52579116821289,190.71897888183594
18,84,26.57190704345703,38.64676284790039
8,59,16.66840171813965,27.660106658935547
14,55,7.276049613952637,32.34516525268555
25,26,18.403305053710938,121.65996551513672
4,49,23.81277847290039,77.40142059326172
4,48,17.488767623901367,35.925819396972656
14,49,13.315042495727539,22.31781768798828
4,53,19.47736167907715,39.77734375
18,48,19.672819137573242,36.56983947753906
8,60,6.826843738555908,15.200485229492188
8,53,30.13216781616211,79.02569580078125
4,15,15.014320373535156,53.83362579345703
25,53,22.894474029541016,45.56422424316406
14,84,6.379225730895996,27.55144691467285
24,55,15.716811180114746,31.05850601196289
25,23,35.61595916748047,178.39349365234375
14,3,22.750274658203125,42.06586837768555
24,30,7.17025899887085,11.516300201416016
4,30,3.1218976974487305,6.507747173309326
14,7,16.476457595825195,27.33759117126465
25,7,43.33912658691406,170.6538848876953
4,22,8.659658432006836,20.790435791015625
14,47,10.876782417297363,21.77811622619629
24,47,20.978910446166992,58.44729995727539
4,7,19.304039001464844,46.04307556152344
14,15,7.172634124755859,23.41048240661621
8,45,13.269266128540039,28.834768295288086
24,45,15.849870681762695,33.8328742980957
8,26,15.997314453125,25.43402099609375
25,44,11.730050086975098,23.55988311767578
8,35,24.646265029907227,44.2232780456543
14,44,18.39087677001953,31.83742904663086
14,60,7.669461727142334,17.616905212402344
8,44,11.222471237182617,21.544933319091797
14,45,24.30791473388672,122.18734741210938
8,47,15.523193359375,30.67052459716797
25,45,29.518632888793945,168.3009490966797
4,59,7.478797435760498,18.252864837646484
24,35,15.395771026611328,27.28129768371582
18,59,14.8804349899292,26.970165252685547
8,21,2.4079599380493164,4.813847541809082
8,3,23.66550636291504,108.48985290527344
14,30,4.332183361053467,7.268309116363525
4,4,19.831445693969727,105.0874252319336
4,83,31.071565628051758,61.83469772338867
18,35,18.796113967895508,35.55900192260742
14,23,35.511619567871094,187.7771759033203
4,21,3.220810651779175,10.831958770751953
25,60,24.070241928100586,73.86593627929688
25,59,24.090723037719727,85.7930908203125
24,23,17.97020149230957,31.82290267944336
18,44,23.529338836669922,55.539608001708984
4,60,18.547420501708984,33.668304443359375
18,7,30.077831268310547,72.10134887695312
18,55,17.805280685424805,28.78521728515625
24,4,13.961360931396484,43.06373977661133
24,60,10.300280570983887,38.13618087768555
18,47,17.9395694732666,32.30623245239258
24,53,37.20623016357422,122.08897399902344
8,22,3.687070369720459,7.128301620483398
25,3,38.95943832397461,175.1172332763672
8,83,22.480836868286133,55.53275680541992
14,48,7.395253658294678,12.272660255432129
8,7,24.588943481445312,46.90144729614258
8,49,35.03646469116211,133.88626098632812
18,26,25.67915916442871,86.2093505859375
8,30,16.051738739013672,36.234657287597656
14,26,18.24970054626465,37.67726135253906
8,15,15.388922691345215,35.727386474609375
4,45,16.348636627197266,62.592979431152344
18,53,27.47418212890625,71.21739196777344
18,30,9.84646987915039,19.952573776245117
14,21,5.626885890960693,11.486959457397461
4,35,14.637784004211426,30.223464965820312
24,49,24.252635955810547,109.11162567138672
24,26,21.84000587463379,59.973060607910156
4,3,16.627971649169922,29.77720069885254
8,23,20.65892791748047,37.51936340332031
24,7,29.661741256713867,47.13658142089844
24,21,7.47519063949585,17.239395141601562
4,23,45.30120086669922,188.43167114257812
14,22,10.702481269836426,20.532201766967773
4,47,18.493267059326172,84.09210205078125
25,83,49.063419342041016,230.38035583496094
24,44,11.518637657165527,21.319604873657227
18,22,7.1871466636657715,16.451623916625977
4,84,42.0601921081543,150.00735473632812
25,35,26.167940139770508,99.87570190429688
25,48,20.036151885986328,77.40888214111328
14,59,17.246023178100586,26.250686645507812
24,59,10.409492492675781,18.88150978088379
18,15,11.4490385055542,18.03301429748535
18,83,37.41444396972656,128.95458984375
4,44,24.765363693237305,48.96101379394531
14,35,16.364717483520508,30.073213577270508
25,21,7.357542991638184,29.17606544494629
24,48,22.357383728027344,44.94716262817383
24,83,25.811355590820312,119.76148223876953
14,53,13.705449104309082,27.45269775390625
25,47,32.861793518066406,204.69076538085938
8,55,7.391901016235352,78.04798126220703
25,22,15.784958839416504,102.4595947265625
18,49,21.5022029876709,66.18046569824219
14,83,26.748497009277344,98.57275390625
24,15,23.735912322998047,50.89162826538086
18,45,27.04237174987793,55.96573257446289
24,3,22.323387145996094,38.55609130859375
25,30,3.295090436935425,5.157291412353516
8,84,20.054319381713867,54.280181884765625
4,26,13.124013900756836,39.09516906738281
25,55,21.861289978027344,65.46549224853516
4,55,25.66891098022461,67.24443054199219
8,48,17.177003860473633,82.04695892333984
24,22,7.9172258377075195,20.121429443359375
18,3,41.19576644897461,105.72124481201172
25,15,20.236289978027344,36.8588981628418
18,4,13.084386825561523,25.23126220703125
8,4,22.78703498840332,94.38420104980469
25,84,21.118112564086914,70.10502624511719
18,21,19.303266525268555,33.24443054199219
14,4,24.89010238647461,143.11233520507812
25,49,41.20805358886719,124.84782409667969
-1,-1,19.473604202270508,77.839111328125
