sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite
0,4,83,30,14.190996867418288,20.34574114583424,14.190996867418288,730.6050029583275,20,,True
1,4,83,45,20.80272679626942,26.29567795526505,20.80272679626942,462.5356802716851,20,,True
2,4,83,60,12.554294092953205,16.100064785427527,12.554294092953205,462.20135781913996,20,,True
3,4,83,75,22.060600521601735,32.57103282154466,22.060600521601735,463.5087507776916,20,,True
4,4,83,90,27.625117106735708,45.1002066213011,27.625117106735708,462.1729226782918,20,,True
5,4,83,105,50.65936374564966,82.73084205921461,50.65936374564966,462.7480520866811,20,,True
6,4,83,120,16.51490059097608,21.57944641745643,16.51490059097608,461.840424221009,20,,True
7,4,83,135,3.595662506421407,5.193851920798581,3.595662506421407,465.6823519617319,20,,True
8,4,83,150,11.367475140094758,16.521721450645817,11.367475140094758,464.115047827363,20,,True
9,4,83,165,15.08650203148524,21.092587305617425,15.08650203148524,465.657876804471,20,,True
10,4,83,180,28.79044782059888,47.09781287464181,28.79044782059888,459.08454107120633,20,,True
11,4,83,195,9.337030094489455,11.797032030542798,9.337030094489455,466.43545711413026,20,,True
12,4,83,210,11.293173572669426,17.359439975352352,11.293173572669426,462.23346842452884,20,,True
13,4,83,225,30.412857251614334,46.807982939525075,30.412857251614334,461.41716418787837,20,,True
14,4,15,30,15.70988327736656,19.308141170878084,15.70988327736656,466.4752329699695,20,,True
15,4,15,45,6.902944633364678,7.958485688254504,6.902944633364678,478.1695050187409,20,,True
16,4,15,60,1.1323537151018779,1.764665861165499,1.1323537151018779,462.67141681164503,20,,True
17,4,15,75,1.0855639060338338,1.6972348126539794,1.0855639060338338,460.3146482259035,20,,True
18,4,15,90,1.0690242846806843,1.8011739989255837,1.0690242846806843,462.15021004900336,20,,True
19,4,15,105,6.717548114806414,12.054522503738838,6.717548114806414,462.67888974398375,20,,True
20,4,15,120,12.200132288535436,18.085530173254185,12.200132288535436,461.6882069967687,20,,True
21,4,15,135,1.66037122408549,2.0605813251841094,1.66037122408549,462.13375916704535,20,,True
22,4,15,150,0.9621866861979167,1.4086944589799515,0.9621866861979167,462.44429564103484,20,,True
23,4,15,165,6.846121066808701,13.23388889166351,6.846121066808701,463.3506708778441,20,,True
24,4,15,180,14.95628195889294,22.451299009938,14.95628195889294,463.0878739990294,20,,True
25,4,15,195,17.183978000904123,28.766913100014946,17.183978000904123,465.0395670905709,20,,True
26,4,15,210,21.35270247211059,36.340321951412164,21.35270247211059,461.9684871286154,20,,True
27,4,15,225,14.451998408635458,28.684241301706287,14.451998408635458,464.7647272795439,20,,True
28,4,3,30,12.767186615864436,18.58415644083582,12.767186615864436,465.71738831698895,20,,True
29,4,3,45,17.31112593387564,22.348823616455462,17.31112593387564,463.0340216681361,20,,True
30,4,3,60,8.577130719708899,9.158956142140493,8.577130719708899,461.3128360360861,20,,True
31,4,3,75,6.230145163275301,8.412525767588669,6.230145163275301,464.02993565425277,20,,True
32,4,3,90,2.644953069711725,3.8367747876564637,2.644953069711725,467.6932757720351,20,,True
33,4,3,105,3.7713351861884195,5.421546629031074,3.7713351861884195,462.6080458983779,20,,True
34,4,3,120,5.392731925596793,7.3797972722238665,5.392731925596793,462.6956321299076,20,,True
35,4,3,135,13.035216371218363,15.449230708635474,13.035216371218363,462.54455717280507,20,,True
36,4,3,150,11.763917161524295,16.481495483600188,11.763917161524295,462.03163592144847,20,,True
37,4,3,165,10.753768420219421,13.488727863894484,10.753768420219421,484.12300599738955,20,,True
38,4,3,180,6.7559511741002405,11.301789114876808,6.7559511741002405,510.45050099492073,20,,True
39,4,3,195,8.117094773054124,11.142381578392396,8.117094773054124,508.2871178165078,20,,True
40,4,3,210,1.723472930987676,2.0144878520641214,1.723472930987676,509.3304729089141,20,,True
41,4,3,225,3.2277896543343862,3.53627256662935,3.2277896543343862,509.19292215257883,20,,True
42,4,35,30,9.250109325659771,11.259585426626893,9.250109325659771,509.869200643152,20,,True
43,4,35,45,3.4118208741148313,4.453596051840786,3.4118208741148313,509.4728418625891,20,,True
44,4,35,60,4.148810443282128,5.082680245183611,4.148810443282128,510.00524777919054,20,,True
45,4,35,75,4.065841146310171,5.530592679181805,4.065841146310171,510.9110111370683,20,,True
46,4,35,90,2.7183608253796896,6.096081660695483,2.7183608253796896,503.72088979929686,20,,True
47,4,35,105,6.167467654248079,8.424451765562816,6.167467654248079,461.3762660883367,20,,True
48,4,35,120,10.48684141288201,12.769087296354153,10.48684141288201,461.9725737720728,20,,True
49,4,35,135,2.9950953128437203,4.509521425163278,2.9950953128437203,460.86496906355023,20,,True
50,4,35,150,5.023181702196598,6.218957819858524,5.023181702196598,461.71742118895054,20,,True
