config,threshold,gamma,num_samples,mae,corrected_rmse,test_loss,latency_median_ms,target_forward_avg,accepted_per_iteration_avg,peak_allocated_mib,peak_reserved_mib,metric_valid
baseline,,,50,11.036768085417648,22.132159381010695,,566.9266015756875,20.0,,12996.11669921875,13086.0,True
threshold=0.0_gamma=2,0.0,2,50,11.037794513401886,22.13189667904841,,598.2018085196614,20.0,0.0,13011.08740234375,13086.0,True
threshold=0.0_gamma=4,0.0,4,50,11.0370079585885,22.130876151063365,,599.5811843313277,20.0,0.0,13011.11767578125,13086.0,True
threshold=0.0_gamma=8,0.0,8,50,11.038046102779607,22.132311800466717,,605.3022814448923,20.0,0.0,13011.17822265625,13086.0,True
threshold=0.5_gamma=2,0.5,2,50,11.058236487167576,22.18392999663387,,322.90396094322205,11.0,1.886,13005.0830078125,13086.0,True
threshold=0.5_gamma=4,0.5,4,50,11.035251266814768,22.12323105458299,,177.09304904565215,6.14,3.6342412451361867,13000.5966796875,13086.0,True
threshold=0.5_gamma=8,0.5,8,50,11.042410857615371,22.129414651763103,,119.4620649330318,4.14,5.885350318471337,13002.4306640625,13086.0,True
threshold=1.0_gamma=2,1.0,2,50,11.046280847964187,22.16352505292789,,321.8865734525025,11.0,1.898,13005.0830078125,13086.0,True
threshold=1.0_gamma=4,1.0,4,50,11.031559901254873,22.153502208449122,,177.08553303964436,6.02,3.756972111553785,13000.3544921875,13086.0,True
threshold=1.0_gamma=8,1.0,8,50,11.057485279815893,22.171438161914658,,119.17211790569127,4.02,6.185430463576159,13002.93115234375,13086.0,True
