sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite
0,4,83,30,14.673766948034366,19.436421407301918,14.673766948034366,121.50248698890209,4,19,True
1,4,83,45,22.266000242034593,27.30957764063159,22.266000242034593,99.293053150177,4,18,True
2,4,83,60,12.845533672471841,16.44640837979086,12.845533672471841,98.29698875546455,4,19,True
3,4,83,75,19.43330407384783,29.699701188518947,19.43330407384783,98.5339879989624,4,19,True
4,4,83,90,24.259984683493773,40.20473528856901,24.259984683493773,98.71946834027767,4,19,True
5,4,83,105,40.74064950843652,67.06277966290169,40.74064950843652,125.16251998022199,5,17,True
6,4,83,120,6.4786695818106335,8.377566354301258,6.4786695818106335,98.84109906852245,4,19,True
7,4,83,135,6.470780348777771,7.160733459882576,6.470780348777771,98.51914877071977,4,19,True
8,4,83,150,11.382723406950634,17.3535949706101,11.382723406950634,98.74978568404913,4,19,True
9,4,83,165,7.330948030948639,9.503273970649753,7.330948030948639,98.50817918777466,4,19,True
10,4,83,180,27.859499563152593,47.111378527860396,27.859499563152593,98.86757796630263,4,19,True
11,4,83,195,12.680955157304803,15.373606504515772,12.680955157304803,99.40912295132875,4,18,True
12,4,83,210,12.156248260786136,20.989591723514923,12.156248260786136,98.53666182607412,4,19,True
13,4,83,225,30.931617932766677,47.50119685057648,30.931617932766677,98.80362823605537,4,19,True
14,4,15,30,10.17801048035423,12.576484120589063,10.17801048035423,98.67291012778878,4,19,True
15,4,15,45,3.0927710821231207,4.056734605405632,3.0927710821231207,99.56971695646644,4,18,True
16,4,15,60,1.7240238706270854,2.293698806186206,1.7240238706270854,98.60464138910174,4,19,True
17,4,15,75,1.6015690167744954,2.2557850813019433,1.6015690167744954,98.55548804625869,4,19,True
18,4,15,90,1.6317180156707765,2.355411045345869,1.6317180156707765,99.30902300402522,4,19,True
19,4,15,105,6.94796960229675,12.094124754100557,6.94796960229675,103.00112795084715,4,19,True
20,4,15,120,8.582683608929317,12.8738151802117,8.582683608929317,105.0986759364605,4,18,True
21,4,15,135,1.2756533861160277,1.9690485553990713,1.2756533861160277,102.78870584443212,4,19,True
22,4,15,150,1.2786514282226562,1.734422885864326,1.2786514282226562,101.24728037044406,4,19,True
23,4,15,165,6.9058386822541555,13.044284752506028,6.9058386822541555,99.72564224153757,4,19,True
24,4,15,180,13.4732575584203,23.46507742575822,13.4732575584203,109.69588300213218,4,19,True
25,4,15,195,7.61891980804503,10.009705471029726,7.61891980804503,102.589659858495,4,19,True
26,4,15,210,23.40932889133692,43.50143920362425,23.40932889133692,103.94514398649335,4,19,True
27,4,15,225,12.776274545987446,18.86042969982748,12.776274545987446,106.04295274242759,4,19,True
28,4,3,30,13.081925322612127,18.94264340465658,13.081925322612127,102.1873177960515,4,19,True
29,4,3,45,20.61498980894685,28.08673423144191,20.61498980894685,109.46618812158704,4,18,True
30,4,3,60,8.511273039070268,9.680509961575689,8.511273039070268,104.40598614513874,4,19,True
31,4,3,75,6.412805770772199,8.654834858800543,6.412805770772199,106.55917879194021,4,19,True
32,4,3,90,2.5351736271133025,3.946393413531688,2.5351736271133025,104.98948022723198,4,19,True
33,4,3,105,4.800572564577063,7.355001551807189,4.800572564577063,102.78504900634289,4,19,True
34,4,3,120,3.200472617894411,5.349169758854624,3.200472617894411,106.54450114816427,4,19,True
35,4,3,135,11.605414430300394,14.932816380691598,11.605414430300394,102.48532192781568,4,19,True
36,4,3,150,11.550800499816736,16.199644817480408,11.550800499816736,104.47224089875817,4,19,True
37,4,3,165,13.609344760576883,17.912014368225616,13.609344760576883,107.8079710714519,4,19,True
38,4,3,180,6.943914071718852,12.036565823048255,6.943914071718852,102.75034420192242,4,19,True
39,4,3,195,4.352114739020665,6.439533189184076,4.352114739020665,100.69610783830285,4,19,True
40,4,3,210,1.8224029997984568,2.3560759134001974,1.8224029997984568,100.28541088104248,4,19,True
41,4,3,225,3.509755482276281,3.832173452886658,3.509755482276281,98.4937408939004,4,19,True
42,4,35,30,8.086833416235944,10.102915722634947,8.086833416235944,98.74188108369708,4,19,True
43,4,35,45,6.8278122360507645,8.13150988203569,6.8278122360507645,104.47325184941292,4,19,True
44,4,35,60,3.858391484618187,5.655518504623137,3.858391484618187,99.47536885738373,4,19,True
45,4,35,75,2.457217800617218,3.7494288937934677,2.457217800617218,99.04493391513824,4,19,True
46,4,35,90,3.1453908960024517,6.893737451652237,3.1453908960024517,98.67904195562005,4,19,True
47,4,35,105,5.756633055706819,7.733560604693279,5.756633055706819,99.27041083574295,4,19,True
48,4,35,120,4.777321104705334,6.08334425975532,4.777321104705334,99.15584418922663,4,19,True
49,4,35,135,3.4339918442070485,5.356221563125395,3.4339918442070485,99.05463270843029,4,19,True
50,4,35,150,3.97518825083971,5.384556293149476,3.97518825083971,98.92820380628109,4,19,True
51,4,35,165,11.104454338550568,16.365542860273774,11.104454338550568,98.8603150472045,4,19,True
52,4,35,180,22.686480037371318,37.83769525403227,22.686480037371318,98.86579494923353,4,19,True
53,4,35,195,5.122241620222727,6.792509854573245,5.122241620222727,99.53760588541627,4,18,True
54,4,35,210,2.7144415934880572,3.6338011775694397,2.7144415934880572,99.56083912402391,4,19,True
55,4,35,225,4.699756918350856,8.09918178260207,4.699756918350856,99.55732291564345,4,19,True
56,4,48,30,4.81383610633978,7.511038442143773,4.81383610633978,98.6713171005249,4,19,True
57,4,48,45,14.574180530756712,21.94991990486766,14.574180530756712,99.48512678965926,4,19,True
58,4,48,60,13.344034969061614,20.502767958011894,13.344034969061614,99.03686912730336,4,19,True
59,4,48,75,5.411749266632251,8.686165592784178,5.411749266632251,99.08042103052139,4,19,True
60,4,48,90,4.905072886745135,6.27382283641309,4.905072886745135,98.61646313220263,4,19,True
61,4,48,105,7.787887495259444,11.847961490558783,7.787887495259444,98.4979891218245,4,19,True
62,4,48,120,27.606665097673734,41.664532109925624,27.606665097673734,99.73884699866176,4,18,True
63,4,48,135,25.19650066147248,36.489297555700354,25.19650066147248,98.65812212228775,4,19,True
64,4,48,150,11.967187450329464,15.538154272123345,11.967187450329464,99.2367472499609,4,19,True
65,4,48,165,5.723949913183848,6.365394683731633,5.723949913183848,99.10133108496666,4,19,True
66,4,48,180,10.061459081806243,17.346576080233888,10.061459081806243,98.78243831917644,4,19,True
