sample_id,video,user,timestep,mae,corrected_rmse,mean_angular_error,latency_ms,target_forward_count,accepted_sum,finite,selected_k
0,3,16,30,17.617068482066195,29.0643327857093,17.617068482066195,729.3502548709512,20,,True,2
1,3,16,90,12.023967908446988,21.304350668295893,12.023967908446988,461.8986677378416,20,,True,2
2,3,16,150,15.977304274837175,21.65995910969165,15.977304274837175,458.53797998279333,20,,True,2
3,3,16,210,10.442877976223826,18.24386413213682,10.442877976223826,468.524900265038,20,,True,2
4,3,16,270,7.434543169786533,12.014736776243607,7.434543169786533,500.1507862471044,20,,True,2
5,3,16,330,4.734730364878972,7.039418690643294,4.734730364878972,468.02982315421104,20,,True,2
6,3,16,390,8.17631540497144,10.663319891776663,8.17631540497144,461.9840793311596,20,,True,2
7,3,16,450,15.73720034348468,24.576590178990184,15.73720034348468,459.5970339141786,20,,True,2
8,3,16,510,18.203646192575494,28.36561577363578,18.203646192575494,461.65669010952115,20,,True,2
9,3,16,570,3.9445458460599183,4.580089886419341,3.9445458460599183,458.83404137566686,20,,True,2
10,3,16,630,5.9787619406978285,8.518680459134636,5.9787619406978285,461.9456357322633,20,,True,2
11,3,16,690,6.473242077852289,8.904715325357916,6.473242077852289,459.4393549486995,20,,True,2
12,3,16,750,37.10264029720177,68.17390752770787,37.10264029720177,460.25366708636284,20,,True,2
13,3,16,810,10.255308143297832,17.27322933821627,10.255308143297832,462.8822370432317,20,,True,2
14,3,16,870,3.560426597793897,4.387079065468581,3.560426597793897,456.9096709601581,20,,True,2
15,3,16,930,11.384752307335535,14.213990862925783,11.384752307335535,457.0645149797201,20,,True,2
16,3,16,990,58.991658894345164,81.58632729824743,58.991658894345164,457.2015628218651,20,,True,2
17,3,16,1050,9.494107151031494,12.57979301128636,9.494107151031494,457.39379711449146,20,,True,2
18,3,16,1110,5.3078673601150514,7.9177471557945776,5.3078673601150514,456.61052595824003,20,,True,2
19,3,16,1170,12.356096410751343,16.063238430087566,12.356096410751343,456.4623050391674,20,,True,2
20,3,16,1230,4.196945452690125,5.7899490671238665,4.196945452690125,457.31443678960204,20,,True,2
21,3,16,1290,11.178537893295289,15.657473903713612,11.178537893295289,461.44212409853935,20,,True,2
22,3,16,1350,12.795373924573262,14.92073908344879,12.795373924573262,456.6892641596496,20,,True,2
23,3,7,30,24.807222322622934,37.50621005964028,24.807222322622934,456.38186298310757,20,,True,2
24,3,7,90,14.126691151658694,29.890059101758027,14.126691151658694,456.22375421226025,20,,True,2
25,3,7,150,41.18876077234745,74.87649867553799,41.18876077234745,462.41486398503184,20,,True,2
26,3,7,210,11.570022457838059,19.38386287577493,11.570022457838059,458.0355710349977,20,,True,2
27,3,7,270,7.834402533372243,8.954612834709076,7.834402533372243,457.17631513252854,20,,True,2
28,3,7,330,4.2577545637885725,6.208499118181111,4.2577545637885725,456.97733014822006,20,,True,2
29,3,7,390,15.798481384913126,19.492326350159058,15.798481384913126,455.71542298421264,20,,True,2
30,3,7,450,11.760442634423574,17.99647509653553,11.760442634423574,455.23650711402297,20,,True,2
31,3,7,510,28.554318000624576,53.184127408691175,28.554318000624576,455.68154007196426,20,,True,2
32,3,7,570,4.0350889811913175,6.202216908506993,4.0350889811913175,455.0866927020252,20,,True,2
33,3,7,630,9.898363763776919,18.244093682197892,9.898363763776919,456.70531410723925,20,,True,2
34,3,7,690,11.87792685572058,19.87507482004208,11.87792685572058,455.6389176286757,20,,True,2
35,3,7,750,1.9498381063342094,2.777365469645505,1.9498381063342094,454.77511500939727,20,,True,2
36,3,7,810,29.082946066061655,44.18248971727836,29.082946066061655,455.5904562585056,20,,True,2
37,3,7,870,16.308647243181863,20.23876358410455,16.308647243181863,456.0266421176493,20,,True,2
38,3,7,930,16.285598870553077,22.46310071947677,16.285598870553077,455.19812405109406,20,,True,2
39,3,7,990,33.27701892654101,57.41009890108294,33.27701892654101,455.44132497161627,20,,True,2
40,3,7,1050,10.529996490478515,14.919132998728276,10.529996490478515,463.73075200244784,20,,True,2
41,3,7,1110,5.272847065329552,8.754589840592255,5.272847065329552,456.5390511415899,20,,True,2
42,3,7,1170,7.951342757542928,12.847637844392272,7.951342757542928,455.3642487153411,20,,True,2
43,3,7,1230,8.391533076763153,12.723217776552183,8.391533076763153,454.6424439176917,20,,True,2
44,3,7,1290,7.004373264312744,9.357856396689947,7.004373264312744,455.11275297030807,20,,True,2
45,3,7,1350,4.969578266143799,6.576836341066527,4.969578266143799,455.61464317142963,20,,True,2
46,3,46,30,7.750961667609712,9.854810073754871,7.750961667609712,456.9149208255112,20,,True,2
47,3,46,90,20.395332559446494,39.632872675271706,20.395332559446494,455.8883900754154,20,,True,2
48,3,46,150,58.80738606421898,93.57478072363857,58.80738606421898,457.54217775538564,20,,True,2
49,3,46,210,12.709274419148763,14.1305732560114,12.709274419148763,455.60997258871794,20,,True,2
50,3,46,270,40.06349168196321,61.19149099936275,40.06349168196321,456.3951981253922,20,,True,2
51,3,46,330,13.184392654150724,15.800272929561746,13.184392654150724,456.0723789036274,20,,True,2
52,3,46,390,11.415203642845153,13.19061725571063,11.415203642845153,455.9967857785523,20,,True,2
53,3,46,450,11.405259197950363,16.706595246349487,11.405259197950363,456.0665669851005,20,,True,2
54,3,46,510,26.64514857083559,45.77708353484909,26.64514857083559,456.30417624488473,20,,True,2
55,3,46,570,14.335174599227805,21.363712801191355,14.335174599227805,455.6467430666089,20,,True,2
56,3,46,630,31.2415890087684,50.864153796842075,31.2415890087684,456.2541018240154,20,,True,2
57,3,46,690,5.662647620836894,6.977754046987622,5.662647620836894,455.6559999473393,20,,True,2
58,3,46,750,20.344411874189973,33.007982308637914,20.344411874189973,455.90736577287316,20,,True,2
59,3,46,810,12.021616589774688,15.500702814371023,12.021616589774688,457.76696410030127,20,,True,2
60,3,46,870,8.699250458677609,10.76678516057405,8.699250458677609,456.3694796524942,20,,True,2
61,3,46,930,6.038380988438925,6.94095916486558,6.038380988438925,456.25052507966757,20,,True,2
62,3,46,990,9.398914511998495,12.120771127824712,9.398914511998495,456.53821993619204,20,,True,2
63,3,46,1050,8.30682110786438,9.008188229374285,8.30682110786438,455.8495068922639,20,,True,2
64,3,46,1110,5.510000006357829,7.373148444617532,5.510000006357829,455.37157310172915,20,,True,2
65,3,46,1170,7.463434710353613,8.707234315437574,7.463434710353613,455.7416522875428,20,,True,2
66,3,46,1230,15.74237706984083,25.534358479919227,15.74237706984083,455.4497613571584,20,,True,2
67,3,46,1290,9.384988808600854,14.811185532330773,9.384988808600854,454.30131861940026,20,,True,2
68,3,46,1350,4.3022275765736895,5.44000026173379,4.3022275765736895,455.53890010342,20,,True,2
69,3,5,30,7.208622980117798,9.481993491623491,7.208622980117798,455.59140807017684,20,,True,2
70,3,5,90,9.215473981791487,19.57427076953825,9.215473981791487,457.9902761615813,20,,True,2
71,3,5,150,10.496331453323364,13.376627441916414,10.496331453323364,455.9409902431071,20,,True,2
72,3,5,210,8.382952680190405,12.650211478799047,8.382952680190405,455.46327671036124,20,,True,2
73,3,5,270,30.469361569484075,50.90184837475343,30.469361569484075,454.5071180909872,20,,True,2
74,3,5,330,3.617612059911092,4.711305781031541,3.617612059911092,455.1444039680064,20,,True,2
75,3,5,390,13.88935860991478,17.58590892420374,13.88935860991478,455.3548009134829,20,,True,2
76,3,5,450,12.868157148361206,21.45350260247952,12.868157148361206,457.64919091016054,20,,True,2
77,3,5,510,16.521516760190327,28.08138935483769,16.521516760190327,455.3298740647733,20,,True,2
78,3,5,570,7.399657704432806,9.520726903367924,7.399657704432806,456.2728679738939,20,,True,2
79,3,5,630,9.875128444160024,16.849918186058666,9.875128444160024,455.27889719232917,20,,True,2
80,3,5,690,42.74422768143316,70.48283023221502,42.74422768143316,485.7247518375516,20,,True,2
81,3,5,750,17.230739519000053,34.386492863118,17.230739519000053,559.4289428554475,20,,True,2
82,3,5,810,12.32724347114563,19.175656920733044,12.32724347114563,532.8028830699623,20,,True,2
83,3,5,870,5.681829780340195,7.867034085822054,5.681829780340195,479.838608764112,20,,True,2
84,3,5,930,4.432336860895157,5.342910181522364,4.432336860895157,575.4023548215628,20,,True,2
85,3,5,990,4.083248885472615,4.990718601342307,4.083248885472615,619.31979842484,20,,True,2
86,3,5,1050,3.2701168696085614,3.939956053714427,3.2701168696085614,528.7783723324537,20,,True,2
87,3,5,1110,5.158434534072876,7.237128502000366,5.158434534072876,463.4757712483406,20,,True,2
88,3,5,1170,4.353617743651072,5.455161108870962,4.353617743651072,471.76077077165246,20,,True,2
89,3,5,1230,15.17592707189421,23.1750424664445,15.17592707189421,459.7935457713902,20,,True,2
90,3,5,1290,14.467994351188342,21.429057507731514,14.467994351188342,458.52587930858135,20,,True,2
91,3,5,1350,5.674269969156012,7.099084138009832,5.674269969156012,461.88894007354975,20,,True,2
92,3,35,30,19.380308552086355,26.66143019256628,19.380308552086355,454.77777998894453,20,,True,2
93,3,35,90,7.979231471587749,13.470521745292487,7.979231471587749,455.4969007149339,20,,True,2
94,3,35,150,29.721998072757074,44.980157740046096,29.721998072757074,455.53186628967524,20,,True,2
95,3,35,210,6.610365009307861,8.885270326198139,6.610365009307861,466.1513417959213,20,,True,2
96,3,35,270,10.638203908999762,14.835760548241446,10.638203908999762,467.0275691896677,20,,True,2
97,3,35,330,25.016430711746217,43.08803537780852,25.016430711746217,456.567264162004,20,,True,2
98,3,35,390,15.51629279454549,19.3559523241808,15.51629279454549,455.79027524217963,20,,True,2
99,3,35,450,4.439793704946836,5.547528553858221,4.439793704946836,455.4259767755866,20,,True,2
100,3,35,510,1.9643550197283426,2.1802000568515894,1.9643550197283426,455.63779678195715,20,,True,2
101,3,35,570,7.102014982700348,10.490362398625223,7.102014982700348,455.91473998501897,20,,True,2
102,3,35,630,16.432492775221665,20.743023567531782,16.432492775221665,456.3459372147918,20,,True,2
103,3,35,690,5.747064096728961,9.134315618013595,5.747064096728961,455.76122030615807,20,,True,2
104,3,35,750,6.360530908902486,11.43257219699756,6.360530908902486,456.7941636778414,20,,True,2
105,3,35,810,29.801662733157475,49.239063898755475,29.801662733157475,456.006514839828,20,,True,2
106,3,35,870,8.67128535709926,10.574111254750992,8.67128535709926,456.1156607232988,20,,True,2
107,3,35,930,11.50951122045517,13.555645121862385,11.50951122045517,458.5372409783304,20,,True,2
108,3,35,990,6.13261137008667,7.353976864230434,6.13261137008667,456.3783183693886,20,,True,2
109,3,35,1050,3.23148988087972,4.330515294700899,3.23148988087972,455.13967517763376,20,,True,2
110,3,35,1110,3.226311961809794,4.206931304534516,3.226311961809794,455.30022913590074,20,,True,2
111,3,35,1170,9.264774769544601,11.307758736214405,9.264774769544601,455.69349313154817,20,,True,2
112,3,35,1230,5.514802136520545,6.863777567508193,5.514802136520545,455.25552285835147,20,,True,2
113,3,35,1290,10.23139989276727,13.930886315621333,10.23139989276727,455.8299998752773,20,,True,2
114,3,35,1350,5.001698619127273,5.343357050031899,5.001698619127273,458.57255812734365,20,,True,2
115,3,2,30,10.036165472368399,13.276177360839764,10.036165472368399,456.3683192245662,20,,True,2
116,3,2,90,28.25759036540985,41.80370623508328,28.25759036540985,464.52661929652095,20,,True,2
117,3,2,150,10.30864830861489,16.25713659374118,10.30864830861489,455.9671301394701,20,,True,2
118,3,2,210,9.244593482712904,15.34947991713852,9.244593482712904,455.8870289474726,20,,True,2
119,3,2,270,22.064393840233485,38.253441293826626,22.064393840233485,454.9698643386364,20,,True,2
120,3,2,330,1.5859851241111755,2.0607305027482,1.5859851241111755,455.31360479071736,20,,True,2
121,3,2,390,15.838670235872268,20.675462148312494,15.838670235872268,455.7486060075462,20,,True,2
122,3,2,450,16.200543721516926,23.472359843084735,16.200543721516926,455.6582057848573,20,,True,2
123,3,2,510,12.445001032948493,20.117684648902404,12.445001032948493,456.64952090010047,20,,True,2
124,3,2,570,21.568467128276826,44.09768329492691,21.568467128276826,454.9417910166085,20,,True,2
125,3,2,630,16.00220770041148,24.941400865764223,16.00220770041148,455.5526156909764,20,,True,2
126,3,2,690,10.761447036266327,15.896473717945323,10.761447036266327,456.50323387235403,20,,True,2
127,3,2,750,7.616381229956945,13.141012724019424,7.616381229956945,455.3307262249291,20,,True,2
